model,lib,algo,nrep,test0,test1,test2,test3,rtest0,rtest1,rtest2,rtest3
00001,BioSimulatorIntp,direct,10000,0,0,0,0,0,0,0,1
00001,BioSimulatorIntp,tau_leaping,10000,18,0,0,13,0,0,0,23
00001,BioSimulatorIntp,tau_adaptive,10000,45,0,0,50,40,0,0,50
00003,BioSimulatorIntp,direct,10000,0,29,0,6,0,32,13,9
00003,BioSimulatorIntp,tau_leaping,10000,6,30,27,0,2,31,34,0
00003,BioSimulatorIntp,tau_adaptive,10000,10,40,8,36,9,40,9,37
00004,BioSimulatorIntp,direct,10000,0,0,0,8,0,0,0,9
00004,BioSimulatorIntp,tau_leaping,10000,3,0,0,8,0,9,4,8
00004,BioSimulatorIntp,tau_adaptive,10000,5,40,0,39,4,38,1,47
00011,BioSimulatorIntp,direct,10000,0,0,0,1,0,0,4,2
00011,BioSimulatorIntp,tau_leaping,10000,34,0,0,13,0,0,0,29
00011,BioSimulatorIntp,tau_adaptive,10000,46,0,0,50,40,0,0,50
00020,BioSimulatorIntp,direct,10000,0,37,0,0,0,17,0,0
00020,BioSimulatorIntp,tau_leaping,10000,50,0,50,0,50,0,50,0
00020,BioSimulatorIntp,tau_adaptive,10000,0,50,0,47,0,50,0,48
00021,BioSimulatorIntp,direct,10000,0,12,0,0,0,3,0,0
00021,BioSimulatorIntp,tau_leaping,10000,50,0,50,0,50,0,50,0
00021,BioSimulatorIntp,tau_adaptive,10000,19,27,0,49,0,21,0,50
00022,BioSimulatorIntp,direct,10000,0,14,0,0,0,5,0,0
00022,BioSimulatorIntp,tau_leaping,10000,50,0,50,0,50,0,50,0
00022,BioSimulatorIntp,tau_adaptive,10000,20,25,0,49,0,19,0,49
00030,BioSimulatorIntp,direct,10000,47,47,0,0,20,15,0,2
00030,BioSimulatorIntp,tau_leaping,10000,50,50,100,0,50,50,100,0
00030,BioSimulatorIntp,tau_adaptive,10000,41,41,0,96,27,15,0,96
00031,BioSimulatorIntp,direct,10000,25,25,0,0,0,0,0,0
00031,BioSimulatorIntp,tau_leaping,10000,50,50,100,0,50,50,100,0
00031,BioSimulatorIntp,tau_adaptive,10000,49,49,0,100,37,7,0,100
00037,BioSimulatorIntp,direct,10000,0,10,5,0,0,7,6,0
00037,BioSimulatorIntp,tau_leaping,10000,50,0,50,0,50,0,50,0
00037,BioSimulatorIntp,tau_adaptive,10000,0,50,1,49,0,50,1,49
00038,BioSimulatorIntp,direct,10000,0,12,4,0,0,6,7,0
00038,BioSimulatorIntp,tau_leaping,10000,50,0,50,0,50,0,50,0
00038,BioSimulatorIntp,tau_adaptive,10000,0,50,1,49,0,50,1,49
00039,BioSimulatorIntp,direct,10000,0,50,0,50,0,50,0,50
00039,BioSimulatorIntp,tau_leaping,10000,50,0,50,0,50,0,50,0
00039,BioSimulatorIntp,tau_adaptive,10000,0,50,50,0,0,50,50,0
00005,BioSimulatorIntp,tau_adaptive,10000,49,0,0,50,40,0,0,50
00005,BioSimulatorIntp,tau_leaping,10000,50,0,0,8,0,0,0,18
00023,BioSimulatorIntp,tau_adaptive,10000,21,29,0,50,15,24,0,50
00023,BioSimulatorIntp,tau_leaping,10000,50,0,50,0,50,0,50,0
