model,lib,algo,nrep,test0,test1,test2,test3,rtest0,rtest1,rtest2,rtest3
00030,BioSimulator,tau_adaptive,10000,29,29,4,74,0,2,8,86
00001,BioSimulator,direct,10000,0,0,0,0,0,0,0,0
00001,BioSimulator,tau_leaping,10000,0,0,3,0,0,0,5,0
00001,BioSimulator,tau_adaptive,10000,0,0,15,6,0,0,17,11
00003,BioSimulator,direct,10000,0,0,0,5,0,12,1,9
00003,BioSimulator,tau_leaping,10000,0,0,0,7,0,17,0,12
00003,BioSimulator,tau_adaptive,10000,0,45,4,33,0,44,7,34
00004,BioSimulator,direct,10000,0,0,0,0,0,0,0,0
00004,BioSimulator,tau_leaping,10000,0,0,4,0,0,0,5,0
00004,BioSimulator,tau_adaptive,10000,0,50,23,2,0,46,31,4
00011,BioSimulator,direct,10000,0,0,0,0,0,0,0,0
00011,BioSimulator,tau_leaping,10000,0,0,6,0,0,0,8,0
00011,BioSimulator,tau_adaptive,10000,0,0,31,5,0,0,35,7
00020,BioSimulator,direct,10000,0,0,0,0,0,0,0,0
00020,BioSimulator,tau_leaping,10000,50,0,50,0,50,0,50,0
00020,BioSimulator,tau_adaptive,10000,0,50,28,13,0,48,35,13
00021,BioSimulator,direct,10000,0,0,0,0,0,0,0,0
00021,BioSimulator,tau_leaping,10000,50,0,50,0,50,0,50,0
00021,BioSimulator,tau_adaptive,10000,40,1,1,28,0,1,1,30
00022,BioSimulator,direct,10000,0,0,0,0,0,0,0,0
00022,BioSimulator,tau_leaping,10000,50,0,50,0,50,0,50,0
00022,BioSimulator,tau_adaptive,10000,25,3,3,32,0,2,4,33
00030,BioSimulator,direct,10000,0,0,0,0,0,0,0,0
00030,BioSimulator,tau_leaping,10000,50,50,100,0,50,50,100,0
00031,BioSimulator,direct,10000,0,0,0,0,0,0,0,0
00031,BioSimulator,tau_leaping,10000,50,50,100,0,50,50,100,0
00031,BioSimulator,tau_adaptive,10000,47,47,0,86,0,0,0,94
00037,BioSimulator,direct,10000,0,0,0,0,0,0,0,2
00037,BioSimulator,tau_leaping,10000,50,0,50,0,50,0,50,0
00037,BioSimulator,tau_adaptive,10000,0,50,10,36,0,50,11,37
00038,BioSimulator,direct,10000,0,0,0,0,0,1,1,2
00038,BioSimulator,tau_leaping,10000,50,0,50,0,50,0,50,0
00038,BioSimulator,tau_adaptive,10000,0,50,5,42,0,50,6,43
00039,BioSimulator,direct,10000,0,0,0,0,4,2,3,1
00039,BioSimulator,tau_leaping,10000,50,0,50,0,50,0,50,0
00039,BioSimulator,tau_adaptive,10000,0,50,50,0,0,50,50,0
00005,BioSimulator,tau_adaptive,10000,0,49,13,11,0,0,15,17
00005,BioSimulator,tau_leaping,10000,48,0,3,0,0,0,5,0
00023,BioSimulator,tau_adaptive,10000,47,0,0,32,22,0,0,33
00023,BioSimulator,tau_leaping,10000,50,0,50,0,50,0,50,0
