model,lib,algo,nrep,test0,test1,test2,test3,rtest0,rtest1,rtest2,rtest3
00001,GillespieSSA,tau_adaptive,10000,0,0,0,0,0,0,0,0
00001,GillespieSSA,tau_leaping,10000,0,0,0,0,0,0,0,0
00003,GillespieSSA,tau_adaptive,10000,0,0,0,0,2,0,4,0
00003,GillespieSSA,tau_leaping,10000,0,0,0,8,6,1,0,12
00004,GillespieSSA,tau_adaptive,10000,0,0,0,1,0,0,0,4
00004,GillespieSSA,tau_leaping,10000,0,0,0,0,0,0,2,0
00005,GillespieSSA,tau_adaptive,10000,0,0,0,0,0,0,0,0
00005,GillespieSSA,tau_leaping,10000,0,0,0,0,0,0,1,0
00011,GillespieSSA,tau_adaptive,10000,0,0,0,0,0,0,0,0
00011,GillespieSSA,tau_leaping,10000,0,0,0,0,0,0,0,0
00020,GillespieSSA,tau_adaptive,10000,50,0,50,0,50,0,50,0
00020,GillespieSSA,tau_leaping,10000,50,0,50,0,50,0,50,0
00021,GillespieSSA,tau_adaptive,10000,50,0,50,0,50,0,50,0
00021,GillespieSSA,tau_leaping,10000,50,0,50,0,50,0,50,0
00022,GillespieSSA,tau_adaptive,10000,50,0,50,0,50,0,50,0
00022,GillespieSSA,tau_leaping,10000,50,0,50,0,50,0,50,0
00023,GillespieSSA,tau_adaptive,10000,50,0,50,0,50,0,50,0
00023,GillespieSSA,tau_leaping,10000,50,0,50,0,50,0,50,0
00030,GillespieSSA,tau_adaptive,10000,38,38,0,0,0,6,4,0
00030,GillespieSSA,tau_leaping,10000,19,19,0,0,0,0,0,4
00031,GillespieSSA,tau_adaptive,10000,42,42,0,0,0,0,0,2
00031,GillespieSSA,tau_leaping,10000,45,45,0,0,0,0,0,0
00037,GillespieSSA,tau_adaptive,10000,50,0,50,0,50,0,50,0
00037,GillespieSSA,tau_leaping,10000,50,0,50,0,50,0,50,0
00038,GillespieSSA,tau_adaptive,10000,50,0,50,0,50,0,50,0
00038,GillespieSSA,tau_leaping,10000,50,0,50,0,50,0,50,0
00039,GillespieSSA,tau_adaptive,10000,50,0,50,0,50,0,50,0
00039,GillespieSSA,tau_leaping,10000,50,0,50,0,50,0,50,0
